,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Location_Ahmedabad,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
0,2010,72000,26.6,998,58.16,5.0,1.75,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
1,2015,41000,19.67,1582,126.2,5.0,12.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
2,2011,46000,18.2,1199,88.7,5.0,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
3,2012,87000,20.77,1248,88.76,7.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
4,2013,40670,15.2,1968,140.8,5.0,17.74,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
5,2012,75000,21.1,814,55.2,5.0,2.35,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
6,2013,86999,23.08,1461,63.1,5.0,3.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
7,2016,36000,11.36,2755,171.5,8.0,17.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
8,2013,64430,20.54,1598,103.6,5.0,5.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
9,2012,65932,22.3,1248,74.0,5.0,1.95,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
10,2018,25692,21.56,1462,103.25,5.0,9.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
11,2012,60000,16.8,1497,116.3,5.0,4.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
12,2015,64424,25.2,1248,74.0,5.0,5.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
13,2014,72000,12.7,2179,187.7,5.0,27.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
14,2012,85000,0.0,2179,115.0,5.0,17.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
15,2014,110000,13.5,2477,175.56,7.0,15.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
16,2016,58950,25.8,1498,98.6,5.0,5.4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
17,2017,25000,28.4,1248,74.0,5.0,5.99,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
18,2014,77469,20.45,1461,83.8,5.0,6.34,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
19,2014,78500,14.84,2143,167.62,5.0,28.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
20,2014,32982,22.69,1995,190.0,5.0,18.55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
21,2015,55392,23.65,1248,88.5,5.0,8.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
22,2015,55985,13.53,1984,177.01,5.0,23.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
23,2010,45807,18.5,1197,80.0,5.0,1.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
24,2010,33000,14.4,1598,103.6,5.0,2.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
25,2012,51920,16.8,1497,116.3,5.0,4.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
26,2012,54000,23.08,1461,63.1,5.0,4.25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
27,2013,54000,20.92,998,67.1,5.0,2.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
28,2018,37430,17.5,1199,88.7,5.0,9.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
29,2007,262000,12.8,2494,102.0,7.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
30,2013,62000,19.01,1461,108.45,5.0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
31,2012,87615,14.53,1798,138.1,5.0,6.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
32,2013,72000,11.18,2696,184.0,7.0,12.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
33,2010,35000,12.4,2698,179.5,5.0,11.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
34,2014,55431,16.09,1598,103.5,5.0,6.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
35,2009,83816,14.0,1061,64.0,5.0,1.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
36,2018,50075,24.3,1248,88.5,5.0,8.63,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
37,2017,52000,18.15,1198,82.0,5.0,4.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
38,2013,85000,11.74,2987,254.8,5.0,28.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
